uid,xml_count,danmu_count
27845473,9,18
62862254,9,17
21694949,9,16
93715325,9,16
24073722,9,15
36164239,9,15
12204408,9,14
13054717,9,14
21598287,9,13
43487483,9,13
780014,9,13
15697600,9,12
98976333,9,12
71033415,9,11
23641607,9,10
87245266,9,9
1358029,8,895
10438608,8,867
35968103,8,555
26550637,8,379
12687348,8,378
66808413,8,311
11054237,8,242
38663548,8,236
82237127,8,230
59403550,8,137
27329792,8,122
4876652,8,120
43830807,8,118
43670117,8,114
57139720,8,112
11498851,8,105
26594774,8,100
37999665,8,96
1433946,8,95
76601,8,90
87937216,8,90
554818,8,88
8635260,8,86
14850218,8,75
19365800,8,70
6511598,8,67
26741672,8,66
9365560,8,66
29951465,8,63
88487965,8,56
12697390,8,55
20011429,8,55
8758638,8,54
790905,8,52
874910,8,51
93941098,8,50
5163477,8,45
12357682,8,40
8411425,8,40
7849883,8,39
35693650,8,38
56722,8,38
13315618,8,36
18325145,8,33
4214563,8,33
16135434,8,31
38348669,8,31
30273734,8,29
3265912,8,29
14424666,8,27
43735363,8,27
62943,8,27
11649142,8,26
28163386,8,26
15555997,8,25
15611019,8,23
2523474,8,23
5383161,8,23
20265654,8,22
3113273,8,22
37832509,8,20
57865129,8,20
590518,8,20
89690582,8,20
1917309,8,17
5417729,8,17
2100986,8,15
2374063,8,15
4755773,8,15
52048258,8,15
2207996,8,14
6362631,8,14
10843778,8,13
34735261,8,13
83947666,8,13
9212816,8,13
11682906,8,12
25636568,8,12
50966386,8,12
78971881,8,12
8218135,8,11
83494688,8,11
37686136,8,10
37891443,8,10
34798697,8,9
22507236,8,8
91263928,8,8
59461900,7,974
85954583,7,681
62552221,7,593
20332158,7,550
12756274,7,515
19446776,7,515
34115600,7,455
16928970,7,292
99599130,7,286
35000969,7,231
81852869,7,201
39493846,7,200
28946115,7,193
34889133,7,144
9271343,7,143
22678911,7,133
2507704,7,120
4912451,7,115
12162565,7,93
32432972,7,86
6221730,7,75
8187955,7,70
25578318,7,63
12582557,7,62
75914606,7,60
21907200,7,57
27307613,7,57
420331,7,57
86730283,7,49
89280578,7,47
77986839,7,46
16560607,7,43
24539360,7,41
62470638,7,40
626250,7,39
76949841,7,38
24060874,7,36
37839241,7,36
7598552,7,36
28559229,7,33
40566468,7,33
14650603,7,30
18581446,7,30
36944380,7,30
33011426,7,29
3425078,7,29
86188590,7,29
61452714,7,28
14202610,7,27
24576274,7,27
35940143,7,27
6840143,7,27
14340073,7,26
35504910,7,26
87680611,7,26
13563379,7,25
18990413,7,25
98005,7,25
68414002,7,24
8030188,7,24
1715863,7,23
564638,7,22
7768049,7,22
11783888,7,21
30048034,7,21
73913136,7,21
8374171,7,21
383442,7,20
2107214,7,19
27487210,7,19
74053669,7,19
26073537,7,18
30173690,7,18
36201520,7,18
14252901,7,17
19690761,7,17
3004009,7,17
8524153,7,17
88752564,7,17
13408508,7,16
8313494,7,16
20699876,7,15
41880,7,15
109139,7,14
15347555,7,14
26447535,7,14
27138846,7,14
40064847,7,14
93733569,7,14
1325652,7,13
13787089,7,13
14972339,7,13
20608964,7,13
49836524,7,13
1423372,7,12
151589,7,12
1804857,7,12
24387575,7,12
30614348,7,12
33588154,7,12
83167693,7,12
22981605,7,11
23489012,7,11
23984551,7,11
2800761,7,11
5369357,7,10
78094892,7,10
8223374,7,10
11686981,7,9
15519222,7,9
18242201,7,9
20367626,7,9
25544795,7,9
53461411,7,9
26562569,7,8
1413441,7,7
17274204,7,7
20683265,7,7
446478,7,7
62077633,7,7
8856264,7,7
6308591,6,436
11849317,6,203
38444657,6,188
32201637,6,171
76566095,6,171
10700397,6,156
6969107,6,151
13276357,6,137
14380975,6,110
8296375,6,106
35118504,6,100
29107632,6,98
96064862,6,92
574537,6,52
13990158,6,50
2200997,6,50
25584934,6,50
31207537,6,50
71271,6,50
31229011,6,44
14445968,6,43
30341752,6,43
13559551,6,42
96591854,6,42
46085614,6,41
87725585,6,41
25579597,6,40
6480556,6,40
20970705,6,39
28955203,6,38
8734465,6,38
5461820,6,36
174775,6,35
13742522,6,33
16667380,6,33
34744109,6,33
664518,6,32
1901873,6,31
335800,6,30
94589800,6,30
11401597,6,29
12925936,6,27
23920488,6,26
3097246,6,26
727918,6,26
7469923,6,26
76724375,6,26
2504945,6,25
23068268,6,24
75400229,6,24
33530969,6,23
5877,6,23
38128070,6,22
11875466,6,21
12466408,6,21
19542592,6,21
9608479,6,21
24410957,6,20
21801292,6,19
4798314,6,19
62996075,6,19
88090478,6,19
10780327,6,18
13060937,6,18
2411802,6,18
3878700,6,18
38887890,6,17
5231440,6,17
25266225,6,16
56181970,6,16
37656551,6,15
6212352,6,15
63050,6,15
13026215,6,14
13304417,6,14
2623419,6,14
38707018,6,14
9857314,6,14
12336000,6,13
2091100,6,13
2372206,6,13
39854599,6,13
6396709,6,13
1336137,6,12
28838564,6,12
74200885,6,12
83545601,6,12
28586078,6,11
689304,6,11
11167060,6,10
13256271,6,10
135276,6,10
21139057,6,10
25748961,6,10
3068962,6,10
49987997,6,10
6689465,6,10
71146512,6,10
871541,6,10
10569126,6,9
10805928,6,9
11098419,6,9
11896460,6,9
12021676,6,9
14178801,6,9
21997479,6,9
24840588,6,9
2750063,6,9
33943438,6,9
71955775,6,9
12381806,6,8
13159480,6,8
2032532,6,8
20427603,6,8
34890109,6,8
5644484,6,8
5805330,6,8
7382209,6,8
11691715,6,7
12022856,6,7
139875,6,7
14186825,6,7
23397260,6,7
27173906,6,7
27352902,6,7
2824347,6,7
389467,6,7
62340725,6,7
96836658,6,7
22409668,6,6
4342180,6,6
68585406,6,6
7893349,6,6
11071799,5,787
91526589,5,345
6078354,5,340
232227,5,329
49981941,5,243
31742068,5,230
30624664,5,149
8643074,5,133
5882886,5,123
76514299,5,122
31921959,5,93
27841851,5,87
15059,5,86
41209744,5,85
34794936,5,84
32965520,5,82
5052488,5,82
10426450,5,80
71904271,5,78
702113,5,73
94732921,5,73
3186454,5,69
59178755,5,60
534475,5,59
11054860,5,58
79395877,5,57
24264222,5,55
38318260,5,54
2634835,5,52
15967137,5,45
11715820,5,40
23082535,5,39
5518746,5,39
21986840,5,38
609617,5,37
87615461,5,37
17704682,5,35
19166679,5,35
19226427,5,34
59115274,5,34
30146686,5,32
30959670,5,32
13367177,5,31
15383491,5,31
29704671,5,31
40189700,5,31
7338963,5,31
3700149,5,30
13524580,5,29
32600587,5,29
482835,5,28
6510955,5,27
20921750,5,26
35851294,5,26
26322776,5,25
11785414,5,24
14634727,5,24
19759058,5,24
2261046,5,24
23628136,5,24
11434480,5,23
12205901,5,22
16935795,5,22
28614119,5,22
2890873,5,22
2150326,5,21
22563223,5,21
37843690,5,21
5724047,5,21
7443918,5,21
23624402,5,20
31478993,5,20
6530780,5,20
24428165,5,19
33482879,5,19
4197394,5,19
7537547,5,19
12431842,5,18
19603803,5,18
75943575,5,18
8484447,5,18
13283738,5,17
29683312,5,17
3746593,5,17
40091031,5,17
8452201,5,17
1879241,5,16
32202897,5,16
57500882,5,16
575912,5,16
90737065,5,16
97250,5,16
13546569,5,15
13668925,5,15
13804375,5,15
17817241,5,15
1985987,5,15
2958338,5,15
9179233,5,15
12389772,5,14
13685887,5,14
1616218,5,14
1964672,5,14
29166627,5,14
761311,5,14
93244301,5,14
25114398,5,13
32375759,5,13
10941424,5,12
11816662,5,12
14430997,5,12
21662324,5,12
45459804,5,12
5204735,5,12
55443328,5,12
557426,5,12
6890206,5,12
10640867,5,11
16616195,5,11
27624529,5,11
4145214,5,11
43817008,5,11
509562,5,11
551608,5,11
80145,5,11
11435559,5,10
18229245,5,10
22222829,5,10
35654132,5,10
40229771,5,10
50422239,5,10
72833,5,10
862917,5,10
11732069,5,9
14365429,5,9
1535796,5,9
158783,5,9
