uid,uname,category,guard_event_count,guard_count_sum,max_level,is_blacklist,is_510_return,is_broad_return_exclusive,is_window_new,first_seen_text,last_pre_return_text,as_active_count_after_source
1681243761,本来无少爷,kg,1,1,3,0,0,0,1,2025-12-09 13:55,,9
16814418,乌尔波扎家的塞尔达,黑名单长期观众,1,1,3,1,0,0,0,,,0
1681915,you234s,kg,1,1,3,0,0,0,1,2025-12-10 14:55,,8
16819212,今天星期几了喂,kg,1,1,3,0,0,0,1,2025-12-09 13:55,,7
168198415,EDi49,kg,1,1,3,0,0,0,1,2026-02-10 16:23,,6
168218061,木已成舟n,广义回旋,1,1,3,0,0,1,0,2022-03-25 19:50,2022-12-11 19:50,12
168246750,小篮子offical,kg,1,1,3,0,0,0,1,2025-12-20 19:50,,0
168250674,因为好吃就高兴嘛,kg,1,1,3,0,0,0,1,2026-01-31 19:51,,23
168260101,Lafyer,kg,1,1,3,0,0,0,1,2026-01-03 16:51,,1
168297945,niconico00000,kg,1,1,3,0,0,0,0,2022-06-01 21:01,2023-11-22 20:51,0
1683054,laluk,黑名单长期观众,1,1,3,1,0,0,0,,,0
1683304038,抽象冲浪机6324号,kg,1,1,3,0,0,0,1,2025-12-18 22:10,,18
1684328,夜寒风灯冷,510回旋,1,1,3,0,1,0,0,2022-03-25 19:50,2022-04-23 19:51,3
1684483,大个生命松露,kg,1,1,3,0,0,0,1,2025-12-17 17:56,,11
168484332,苏叶叶叶叶叶子,黑名单长期观众,1,1,3,1,0,0,0,,,0
1685451216,是W_,kg,1,1,3,0,0,0,1,2025-12-16 17:52,,22
168583756,Cavalary,kg,1,1,3,0,0,0,1,2026-02-03 16:53,,8
1686035836,等我们创建新的world,kg,1,1,3,0,0,0,1,2026-01-06 22:15,,0
1686129,乃贝今天吃海希,黑名单长期观众,1,1,3,1,0,0,0,,,0
1686224242,紫玉不爱吃鱼,kg,1,1,3,0,0,0,1,,,0
1686411781,白嫖两年半从未被抓,kg,1,1,3,0,0,0,1,2026-01-25 16:53,,3
168645804,A浙江兔肉批发,黑名单长期观众,1,1,3,1,0,0,0,,,0
1687121,张亦坤,kg,1,1,3,0,0,0,1,2025-12-31 21:53,,0
16872043,姫路川,广义回旋,1,1,3,0,0,1,0,2022-03-27 19:50,2024-09-01 11:00,0
1687930947,笑狮弹剑,kg,1,1,3,0,0,0,1,2026-01-14 20:55,,5
16881184,枝江拾安,kg,1,1,3,0,0,0,1,,,0
168814254,爸゙゙,黑名单长期观众,1,1,3,1,0,0,0,,,0
16882667,有限灯火,黑名单长期观众,1,1,3,1,0,0,0,,,0
168841696,七月jpg,kg,1,1,3,0,0,0,1,2026-02-11 17:49,,2
168851766,月亮曾照亮过我,510回旋,1,1,3,0,1,0,0,2022-02-26 19:50,2022-05-11 19:50,0
168854598,阁楼楼楼楼,kg,1,1,3,0,0,0,1,2026-02-03 16:53,,3
16886610,丷凋零丷,黑名单长期观众,1,1,3,1,0,0,0,,,0
168923247,月下升芳华,kg,1,1,3,0,0,0,1,2026-01-03 16:51,,72
16897712,WanTuC,黑名单长期观众,1,1,3,1,0,0,0,,,0
1689892,壹片茫然,kg,1,1,3,0,0,0,1,2025-12-12 08:52,,0
1689978,普朗克_key,kg,1,1,3,0,0,0,1,2026-03-13 11:51,,0
1691017,-雨衣,黑名单长期观众,1,1,3,1,0,0,0,,,0
169136310,清野凛desuwa,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,56
169150632,索拉里斯地理,kg,1,1,3,0,0,0,1,,,0
169194943,勿厌_,kg,1,1,3,0,0,0,0,2022-08-25 21:00,2022-08-25 21:00,0
16920132,永恒命运之翼,kg,1,1,3,0,0,0,1,2026-02-15 18:54,,1
169206,窗戶子,kg,1,1,3,0,0,0,1,2025-12-10 19:20,,24
169223,淡蓝光阴,kg,1,1,3,0,0,0,1,2026-01-17 19:50,,0
169233097,梵音打睦头,广义回旋,1,1,3,0,0,1,0,2022-03-10 18:40,2023-05-17 20:51,1
169233762,橙子味煎饼狗子,广义回旋,1,1,3,0,0,1,0,2022-04-08 19:50,2022-12-11 19:50,9
1692401283,正宗gn一个魂,黑名单长期观众,1,1,3,1,0,0,0,,,0
16928970,弗多多多,黑名单长期观众,1,1,3,1,0,0,0,,,0
169297452,奶淇琳王子,黑名单长期观众,1,1,3,1,0,0,0,,,0
169330414,吾妻弱音美如仙,kg,1,1,3,0,0,0,1,2025-12-11 13:54,,63
1693446457,让小枫再摆会,kg,1,1,3,0,0,0,1,2025-12-28 17:00,,15
169358530,幻想甜妹拯救世界,黑名单长期观众,1,1,3,1,0,0,0,,,0
1694835286,紫悦520,黑名单长期观众,1,1,3,1,0,0,0,,,0
169524822,字和句关于琳,黑名单长期观众,1,1,3,1,0,0,0,,,0
169527989,比你更喜欢露早,黑名单长期观众,1,1,3,1,0,0,0,,,0
169529753,咸鱼本鱼111,kg,1,1,3,0,0,0,1,2025-12-10 14:55,,63
169531431,花落醉轻尘,kg,1,1,3,0,0,0,1,2026-02-25 14:23,,8
16956674,云养晚晚鉴定为猪,黑名单长期观众,1,1,3,1,0,0,0,,,0
1695704022,くりやまみらい---,kg,1,1,3,0,0,0,1,2025-12-11 13:54,,43
169608139,君属无人,黑名单长期观众,1,1,3,1,0,0,0,,,0
169633496,永远爱02的零贰,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,12
16966531,狐狸今天也沒有走堂,kg,1,1,3,0,0,0,1,2026-02-04 16:54,,9
1696947417,枝江球市,广义回旋,1,1,3,0,0,1,0,2022-11-18 19:50,2022-12-11 19:50,0
16969643,小窝waw,kg,1,1,3,0,0,0,1,2026-02-28 22:20,,0
16970871,自称老人,黑名单长期观众,1,1,3,1,0,0,0,,,0
169773640,面包vi,kg,1,1,3,0,0,0,0,2022-02-04 19:50,2022-05-11 19:50,0
16982615,辣椒鱼yo,黑名单长期观众,1,1,3,1,0,0,0,,,0
1698657229,ice丶白冰,kg,1,1,3,0,0,0,1,2026-02-11 17:49,,5
16993728,EEEeee额,kg,1,1,3,0,0,0,1,2025-12-23 17:56,,0
169972365,汐希茜汐,kg,1,1,3,0,0,0,1,2026-02-03 16:53,,3
1700782356,送琳樱花草,kg,1,1,3,0,0,0,1,2025-12-10 19:20,,3
170080018,同志未同志,kg,1,1,3,0,0,0,1,2026-02-25 14:23,,0
170094,伊苏林迪竹节虫丶,黑名单长期观众,1,1,3,1,0,0,0,,,0
170095979,zd6636,广义回旋,1,1,3,0,0,1,0,2022-02-04 19:50,2023-01-05 19:50,75
17011138,夏萤火,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,30
17013746,薄雾开阳,kg,1,1,3,0,0,0,1,2025-12-23 17:56,,59
17017036,枯_柏,kg,1,1,3,0,0,0,1,2026-01-03 16:51,,4
1702052575,xi7号,kg,1,1,3,0,0,0,1,,,0
170239544,不上岸则不改名,kg,1,1,3,0,0,0,1,,,0
170243868,゙゙等晴天,广义回旋,1,1,3,0,0,1,0,2022-02-04 19:50,2022-10-28 19:51,1
1702864787,桜のかけら,kg,1,1,3,0,0,0,1,,,0
17030683,yi_naan,kg,1,1,3,0,0,0,1,,,0
170335755,Su3san说,黑名单长期观众,1,1,3,1,0,0,0,,,0
1703710,露露睡早早起,kg,1,1,3,0,0,0,1,,,0
17041773,时间倒流回忆归于琳,黑名单长期观众,1,1,3,1,0,0,0,,,0
17050782,风里留帆行,510回旋,1,1,3,0,1,0,0,2022-02-04 19:50,2022-05-07 19:50,8
170522200,わかります_,510回旋,1,1,3,0,1,0,0,2022-04-08 19:50,2022-04-08 19:50,14
170578625,ichigo在哪,黑名单长期观众,1,1,3,1,0,0,0,,,0
170631195,带舒克开飞机,kg,1,1,3,0,0,0,1,2025-12-30 20:53,,54
170680930,从古至今的神话,kg,1,1,3,0,0,0,1,2026-02-28 15:20,,0
17068511,嘉然小姐的桃子,黑名单长期观众,1,1,3,1,0,0,0,,,0
17069535,飓凌冽samui,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,4
17069634,总之不想取名字,广义回旋,1,1,3,0,0,1,0,2025-04-29 19:23,2025-04-29 19:23,1
170783700,守者如望,kg,1,1,3,0,0,0,1,2025-12-11 13:54,,6
170791986,与君醉饮,广义回旋,1,1,3,0,0,1,0,2022-12-11 19:50,2022-12-11 19:50,1
17081862,-伊落マリー,黑名单长期观众,1,1,3,1,0,0,0,,,0
170852988,挽鸢之角,黑名单长期观众,1,1,3,1,0,0,0,,,0
17086,囧蛋,黑名单长期观众,1,1,3,1,0,0,0,,,0
170877009,夭廿三,黑名单长期观众,1,1,3,1,0,0,0,,,0
17090535,柚子的黑猫,黑名单长期观众,1,1,3,1,0,0,0,,,0
170910989,燃灯续昼__,kg,1,1,3,0,0,0,0,2022-03-18 19:50,2023-05-19 19:52,0
1709489997,nomiking,kg,1,1,3,0,0,0,1,2026-01-04 20:54,,0
1711957,青木关_,kg,1,1,3,0,0,0,0,2022-03-25 19:50,2022-12-11 19:50,0
171202181,Apr1lEcho,kg,1,1,3,0,0,0,1,2025-12-10 14:47,,75
171208017,flowerstrory,广义回旋,1,1,3,0,0,1,0,2022-02-04 19:50,2023-06-07 20:50,12
171220812,宇鱼鱼鱼宇,黑名单长期观众,1,1,3,1,0,0,0,,,0
1712652280,澪玖zn,黑名单长期观众,1,1,3,1,0,0,0,,,0
171285685,然宜公主,黑名单长期观众,1,1,3,1,0,0,0,,,0
171293235,元亨利贞_67,kg,1,1,3,0,0,0,0,2024-09-01 11:00,2024-09-01 11:00,0
17130016,好奇的大懒猫,kg,1,1,3,0,0,0,1,2025-12-10 19:20,,0
171340887,ももかのvの,kg,1,1,3,0,0,0,1,2025-12-23 17:56,,3
171346700,千早爱弥斯official,kg,1,1,3,0,0,0,1,2025-12-21 16:54,,12
