hash,xml_count,danmu_count
b4ac4580,12,76
2f68c653,12,75
3cf90bca,12,75
49480e88,12,75
6c8b96e2,12,74
15c85aea,12,73
ed588f4,12,73
7f9855de,12,72
20c9404e,12,71
bc96124a,12,71
4afb77a7,12,70
10d2abdb,12,69
a30c26f6,12,69
4e0e9142,12,67
c5dbdc36,12,66
c6996c3e,12,66
1ad71165,12,65
5b11bb0,12,65
f679d429,12,64
2bf415c,12,63
d1bac827,12,62
5b08f709,12,61
e2113016,12,61
1394db4e,12,60
b99bfea9,12,60
6f6d4e68,12,59
2ef0051b,12,58
aa5a0ed1,12,58
eb57dd19,12,58
254475aa,12,57
777cb9bc,12,57
95ac8b51,12,57
aa301c35,12,57
ce063089,12,56
eb7f2c22,12,56
8f3a51eb,12,53
a808df15,12,53
d4661d49,12,51
713ad5bb,12,49
cf090109,12,49
fa0d0b1c,12,49
483d8d5e,12,47
a38c8de5,12,47
9a234984,12,45
9b91f7cd,12,44
cf9a0196,12,42
5f78a19f,12,41
9ad8a7ef,12,39
fb3d81ff,12,39
1cbc340e,12,36
78fd96e0,12,36
ae12ffbd,12,35
5603f832,12,34
3c7c68a8,12,33
2920131d,12,31
babd5e85,12,31
b3e02037,12,30
fa2b9ec5,12,28
159fb3d4,12,21
7bcd209c,12,21
9a6336f8,12,12
3da9bd80,11,1199
90336776,11,834
27dce103,11,764
41457bb9,11,591
e73b1b67,11,529
ccecd83,11,523
27471197,11,436
c0d0b0ba,11,423
2ccf60cb,11,409
c144deb9,11,400
cecf72a2,11,386
339e35d8,11,367
d518850f,11,358
b82e4f03,11,328
2d788862,11,326
badb1246,11,320
d44a509e,11,315
52cc7656,11,306
2dd85243,11,284
4d667025,11,277
1687c3e,11,272
2b5df751,11,271
e44e6e95,11,271
e1bc9062,11,270
438f57d,11,248
41ba514b,11,231
f8986962,11,229
f8f1e1e4,11,223
d3f58ee3,11,221
afac27ba,11,215
e381df43,11,210
9df0b783,11,198
c8715378,11,196
5ae43477,11,195
64aa3bfe,11,194
1aa5fa58,11,188
456bf6fb,11,181
7d0d59c5,11,176
7763e8d8,11,175
13d67c90,11,174
4d169d2f,11,168
b69009fb,11,160
d4a1ce65,11,159
f3c8fdf2,11,157
253d7168,11,156
6064ab30,11,152
5a934fe2,11,151
e68d079c,11,149
121f484d,11,143
a00d07a6,11,143
9e67bbd5,11,140
7f90f8ef,11,139
f8351cf1,11,138
2bfe3fd7,11,136
d97cc49b,11,136
daf36b33,11,136
e20526c7,11,136
ad2ef099,11,134
d81b46e6,11,131
20fc878e,11,129
b709c8d0,11,129
6c5fd5c8,11,127
679ac1f5,11,123
84a20441,11,123
b66d01db,11,121
509b8bd1,11,119
8672d9fc,11,118
fe809844,11,118
73724827,11,117
7b58a0dd,11,117
a40e8d69,11,117
225bc103,11,116
5de9ba04,11,114
1b1999de,11,112
6a7902ba,11,111
7838b6c1,11,110
97dfb56c,11,109
eb79a050,11,108
216e81a0,11,106
6b73eecd,11,106
3b07cd9f,11,104
d42c9c59,11,104
486fb2b6,11,103
567c8745,11,103
bdcac3e3,11,103
44081f34,11,102
8f8f562a,11,102
262f403e,11,99
a09e6636,11,99
6b2fd78a,11,98
ff8a6d91,11,98
bc2cdb46,11,97
37b7ba02,11,96
5b8e235e,11,96
6293a183,11,96
dd0200be,11,95
686a6f5,11,94
c326fe8f,11,94
20ca4f21,11,93
68c06f26,11,93
7c4b163,11,93
8b37251d,11,91
2a21fcd0,11,90
7d52c681,11,89
7e9bb7aa,11,89
f0fd4e87,11,88
87d81d46,11,87
aac2cb27,11,85
89680fb,11,84
126ec15d,11,83
ebde24be,11,83
5eccdf43,11,82
5892d2d5,11,81
8dacc5d4,11,81
2a3196e3,11,80
ba6d9a84,11,80
92206051,11,78
fa3f6488,11,78
3c14cb9a,11,77
6ecc751d,11,77
82c177be,11,76
90e8480e,11,75
c36214ba,11,75
d8fabb8a,11,75
384611f1,11,74
5c458ae1,11,72
61909a03,11,71
f4e68f9f,11,71
6b8dff84,11,70
dd2e8d76,11,70
94ab0994,11,69
d1000425,11,69
f1cb0c3f,11,68
93d3aa83,11,67
cfb35d97,11,67
ea3b1776,11,67
f0e49b32,11,67
a701acd0,11,65
bd0fd330,11,65
d5634c03,11,65
2ff49eff,11,64
5421f92a,11,64
dfcf7c9,11,64
6c0eefdc,11,63
9f2254,11,63
68bf40fc,11,62
9e1f99b6,11,62
ae886093,11,62
42225ba8,11,60
f8aaf800,11,60
6b836054,11,58
ce265ad2,11,58
1e937e36,11,57
d32f3998,11,57
eaab5603,11,57
2e8a4d4d,11,55
38c00baa,11,55
a5f809dd,11,55
c9de4e0a,11,55
18a91a5,11,54
58636dd1,11,54
a53bc79f,11,54
d7f8014e,11,54
765eabbe,11,53
88e1434c,11,53
f690d6f8,11,53
3729300f,11,52
85f2953e,11,52
84afcc34,11,51
938a939f,11,51
93ceafbb,11,51
adbf3bf3,11,51
e0758e57,11,51
2c874676,11,49
b656f9e5,11,49
f62cf3bb,11,49
33ec805c,11,48
db159915,11,48
9d95540e,11,46
c6ab99ed,11,46
e29130b9,11,46
487c9060,11,45
65a529f5,11,45
8d94f587,11,44
953cdcbd,11,44
c531fe2a,11,44
e3cb8fc8,11,44
26a534f,11,43
a3f2b98b,11,43
e93d68a8,11,42
2ee48bd,11,41
4109755c,11,41
8a9b1baf,11,41
b69865c6,11,41
7f64ce74,11,40
601bbcc1,11,39
96298a3a,11,39
abf15fb9,11,39
595a425,11,38
9378febc,11,38
d3d39992,11,38
f99a6b17,11,38
d3115b87,11,37
df27112f,11,37
3dc7ad87,11,36
5c3c83df,11,36
b2dd1ade,11,36
2eb3466,11,34
a5798519,11,34
7d7cf66f,11,33
79e4400a,11,32
ca83e7ee,11,31
2829dd1f,11,30
3bcc9347,11,30
5edc434,11,30
7282ddad,11,30
9285575d,11,30
72bb6c30,11,29
efb8a88b,11,29
46a15c15,11,28
73ed840e,11,28
7a7f0031,11,28
9fa512ac,11,27
9ff8b460,11,26
248e328d,11,23
8fd3210c,11,23
3291d031,11,22
9979e1c,11,22
f87f738e,11,22
ce477960,11,19
50674102,11,18
a20614c,11,18
a611b32,11,18
25a3d413,10,5748
f08140a4,10,2403
4ef4897c,10,2211
d59c2266,10,1288
4d754209,10,880
9b408760,10,687
8c2f86b4,10,411
c3459ffe,10,378
51cb602e,10,373
afadb505,10,364
c1f658c0,10,302
92eaaf59,10,298
a1a16ab2,10,274
ca3ca1da,10,265
4db67fd4,10,250
4ce9767d,10,244
dff3ba04,10,235
fe46f952,10,213
664b50ad,10,198
24fa1270,10,195
dffed3fa,10,195
4743e24a,10,193
bae2c549,10,187
d9fccf45,10,181
a4e6047e,10,179
a28de037,10,178
beb77448,10,177
77956df6,10,175
885ef1b2,10,172
cd8e9e61,10,172
774969d6,10,168
662ec128,10,167
a2263a21,10,165
74b26add,10,159
2874e069,10,154
a17cf4eb,10,153
4eae9ac,10,143
b7a9a84b,10,143
48752000,10,142
930b0ed4,10,142
eb4edd16,10,140
e7d24cd2,10,138
87a475fd,10,137
1a6a3f50,10,136
9b3ca543,10,130
73febe49,10,129
8bf2df05,10,129
28e73f30,10,127
b876f0f4,10,121
66b44a51,10,118
eb1c5483,10,115
3cce8df4,10,114
1d8bfb39,10,113
2873f38e,10,113
add69a78,10,113
f4921e66,10,113
8ced4ab7,10,112
aaf59737,10,111
c2a6d0bd,10,111
739204ff,10,110
6a217c42,10,108
274bc581,10,107
abce749e,10,107
d74f87db,10,107
e0fdeeb1,10,107
a1d6ba3e,10,106
ad1192cf,10,106
21bf57ef,10,103
7d4bb9ef,10,102
a4143441,10,102
d2692d9e,10,102
256caef9,10,101
f4b586d2,10,101
ebf0d4e1,10,100
fd7fdd83,10,100
a84afcfc,10,99
d9210b6b,10,98
732e441c,10,97
c57aaa7b,10,97
d4ade59f,10,96
f3be36c8,10,96
775898b0,10,95
f415c74a,10,95
71eaa851,10,94
bb129a3b,10,94
35b58c88,10,93
668f9024,10,88
ade269c6,10,87
44e1b0a5,10,86
8da3141,10,86
9f5ff84f,10,86
3b8c3097,10,85
60539f13,10,85
85de2002,10,85
a6664568,10,85
bf9c46a1,10,85
933e92be,10,84
86783833,10,83
6b4479d3,10,82
92abd4bf,10,82
32d4ca98,10,81
666ff7d9,10,81
de573ada,10,81
f02233d1,10,80
28f1dfcd,10,79
c6ac929a,10,78
6b169694,10,77
5a00f2d6,10,76
d42b5d9,10,75
8e6c104e,10,74
15fca74e,10,73
35d3d755,10,72
578fe86c,10,72
92508b40,10,72
f11e0218,10,72
38ffbeb5,10,71
19f2766f,10,70
208f787b,10,70
1991f177,10,69
2d278be9,10,69
4f327f8a,10,69
fb6d0a7c,10,69
bdba0b8b,10,68
d0cc055a,10,68
5e2eec2f,10,67
8908941c,10,67
902051e4,10,67
90c05ddc,10,67
b792ad9b,10,67
7d37fb9b,10,66
23c5f04b,10,65
89648a7d,10,65
b587d8ae,10,65
5bbb3e8c,10,63
ee668eff,10,63
9adaf836,10,62
c4a87f95,10,62
35b2d41e,10,61
d03670f8,10,61
ec172e93,10,61
abc2ae59,10,60
c4880155,10,60
ca6dfd5f,10,60
2f70aa5a,10,59
65067c6e,10,59
6efd9233,10,58
9fd45bec,10,58
8c9943e7,10,56
a1a1f432,10,56
a166b471,10,55
d092e85c,10,55
e67e4ffc,10,55
f93bcc0d,10,55
8c4b624f,10,54
b73d2029,10,54
389d44b8,10,53
6b070785,10,53
4cc23e7a,10,52
7d10530,10,52
d8de737c,10,52
c9a3f210,10,51
124f60b1,10,50
25ce4f27,10,50
604af794,10,50
808ce07d,10,50
86f4cef3,10,50
a573e812,10,50
f1880c50,10,50
fc0d3156,10,50
b0087d30,10,49
bf35dea8,10,49
1f1ffaf5,10,48
21a7943a,10,48
2d2b0406,10,48
695d9fd8,10,48
d5c8e88f,10,48
9776e67,10,47
ed8af98f,10,47
3c74aed2,10,46
f1f6c9c6,10,46
7fd11647,10,45
9b19a637,10,45
9c2dfee1,10,45
a18f6a8,10,44
f0063750,10,44
36c27fd1,10,43
8f81b4b8,10,43
9ecc4ce1,10,43
e2d6533b,10,42
e320cc94,10,42
f966d33,10,42
79774e50,10,41
da1ce9e7,10,41
174786e8,10,40
422a7b33,10,40
516c769b,10,40
8f1dce96,10,39
9d56dd6a,10,39
e5bc78d7,10,39
5c8772f3,10,38
bbe39ffd,10,38
eefdcc59,10,38
6b30830d,10,37
a78c2066,10,37
da470abf,10,37
e8bd3129,10,37
9dbf5077,10,36
fbf3bceb,10,36
2176da6c,10,35
5f377e12,10,35
616b6a4b,10,35
3fbbe035,10,34
2653076b,10,33
2dea9385,10,33
32316d32,10,33
37e59edf,10,33
3d02568a,10,33
5b5db3a2,10,33
9b923efd,10,33
c13d5062,10,33
1f50b031,10,32
3ad3e992,10,32
4beac4ad,10,32
67011fa7,10,31
4c57832e,10,29
3e958b73,10,28
52430237,10,28
ddb24277,10,28
97d50ac2,10,27
ae0c80b4,10,27
8a266e11,10,26
ff6cc7b2,10,26
50292cc0,10,25
57355303,10,25
a416d6b5,10,25
42e0867d,10,24
4fd8c6e9,10,24
a3d48e70,10,24
a4497fa6,10,24
e6b87e01,10,24
b32abcbc,10,22
d52102ed,10,22
48c82a,10,21
4f057a21,10,21
649e4eef,10,21
23095bab,10,20
72756f85,10,20
a369b378,10,20
d4e86813,10,20
1e363578,10,19
908b56fb,10,19
b5e2d218,10,19
828bd148,10,17
8e19021,10,17
38051118,10,16
45445dc2,10,15
f48597c,10,15
886163a8,10,12
1c8ecf0e,9,6486
69ff97e3,9,3112
2d022490,9,2038
caf1d78e,9,1521
92a70bfd,9,1028
46bb339c,9,811
84490dfb,9,648
ccf52bff,9,542
a784336f,9,427
23594c07,9,377
b04d71d0,9,299
58a57d94,9,291
11b09e53,9,290
260e509f,9,286
d4316835,9,282
af615a37,9,276
497bb3b7,9,275
e720d88c,9,266
56271687,9,265
39e09421,9,262
6e634b47,9,251
474b16e4,9,250
93a95643,9,250
c8655210,9,243
95f913,9,237
2b94be15,9,234
4241ffb8,9,233
3d871eb8,9,230
e286ea26,9,230
b9039895,9,208
8754c061,9,207
c7277507,9,203
2cd42223,9,201
6d30c65f,9,196
863b3c0b,9,193
f8354a14,9,193
d73239ff,9,191
6cb4d05b,9,186
dce31ec7,9,184
a17e4de2,9,180
186f6fed,9,173
18e87629,9,172
ce064efb,9,167
8b4a54da,9,163
2198637a,9,158
ea0d18f6,9,157
a9d1055f,9,150
cec753d2,9,148
147a347c,9,147
9679f933,9,147
f2a91b46,9,147
b81172ab,9,139
fa9f5b9d,9,136
d921a8e9,9,134
2656097c,9,133
4bf26f25,9,133
cc9b1e20,9,131
d971a970,9,130
5f1cd029,9,129
b5d6ea8d,9,123
172cad2,9,122
341e4bb4,9,122
e6824a2f,9,119
94e85232,9,118
c37b1042,9,118
ca1c1a91,9,116
e7dc9a82,9,115
41b9e855,9,112
8cbde66e,9,111
286b0a8d,9,110
131c10d6,9,109
140b089f,9,109
ba08c6e,9,109
ec82e5f5,9,108
195ad0aa,9,107
86eea2d0,9,107
468352a,9,103
2a510122,9,102
1154f94e,9,100
c2e02daf,9,98
384f1499,9,97
4c35b6db,9,97
f7bdcaaa,9,96
7e75bd30,9,94
838ccaec,9,94
a483d59b,9,94
d2a743aa,9,93
d1682e11,9,91
e3d173fa,9,90
54f4c082,9,87
995f8b95,9,87
ea6cd24,9,87
139c3590,9,86
743bce3f,9,86
cb9a3103,9,86
a6a8cdc5,9,83
d3abee91,9,83
3e2e5b00,9,82
d0e066f0,9,81
e11a1a6d,9,81
48527add,9,80
ac1f7ab3,9,80
e3ed51d,9,79
18abbc0c,9,77
a1c972aa,9,77
6fd647eb,9,76
efcda7e,9,76
3c01d0b9,9,75
dfe2740a,9,75
2e9f6ca,9,74
2edc6a10,9,74
e635dff2,9,74
e17ea701,9,72
35fb9ffb,9,71
1fdd9922,9,70
324fde6c,9,70
d144cf5b,9,70
1f8aae7e,9,69
fd31877e,9,69
1581d00c,9,68
57a58cd0,9,68
81811c6a,9,68
ffddd4de,9,68
6370488c,9,67
92be379f,9,67
963f44ac,9,67
1074217a,9,65
11b7b0bf,9,65
