uid,xml_count,danmu_count
43370960,7,40
5064285,7,40
1993614,7,38
1435110,7,37
88057622,7,35
15627350,7,31
3042474,7,31
3959184,7,31
23260225,7,30
39495762,7,30
197730,7,29
38348669,7,29
49575224,7,29
17068511,7,28
20427603,7,27
43854,7,27
12530855,7,26
12577281,7,25
5163477,7,25
13214574,7,22
1497666,7,22
9044879,7,22
14127155,7,21
20568348,7,21
86740021,7,21
14340997,7,20
26026866,7,20
1814266,7,17
24407956,7,17
26604433,7,17
1961480,7,16
22595914,7,16
13492482,7,15
18049237,7,15
20780960,7,15
941470,7,15
1859890,7,14
27385616,7,14
2824347,7,14
5057116,7,14
5612100,7,14
7791550,7,14
12778513,7,13
54788097,7,13
90555656,7,13
41409802,7,12
43670117,7,12
2439037,7,11
2697737,7,11
13955084,7,10
14902424,7,10
1555086,7,10
37686136,7,10
52641002,7,10
14735760,7,9
3371409,7,9
34735261,7,9
60620238,7,8
34966016,7,7
30137285,6,155
3552118,6,133
26741672,6,117
4912451,6,116
49981941,6,113
27937,6,106
232227,6,105
6078354,6,101
26288049,6,75
21115753,6,74
98784361,6,68
21260277,6,62
24780898,6,62
8492244,6,61
29107632,6,60
1468546,6,53
21828745,6,52
62943,6,47
5136619,6,45
534475,6,43
1433946,6,41
5882886,6,41
5724047,6,39
57420857,6,38
18412154,6,36
37839241,6,36
590518,6,35
7598552,6,33
11730601,6,32
30959670,6,32
8296375,6,32
98867453,6,32
10927590,6,31
2890873,6,31
15059,6,30
37961445,6,29
17276310,6,28
790905,6,27
94674222,6,27
10827169,6,26
13741246,6,26
4214563,6,26
11762283,6,25
31628971,6,25
6212352,6,23
4145214,6,22
31207537,6,21
76724375,6,21
1964672,6,20
36437468,6,20
626250,6,20
685353,6,20
1512292,6,19
1891593,6,19
22493329,6,19
2471425,6,19
25578318,6,19
38546241,6,18
837458,6,18
22170175,6,17
35150119,6,17
8758638,6,17
96836658,6,17
13817086,6,16
59834085,6,16
2100986,6,15
2523474,6,15
29103034,6,15
29327044,6,15
36944380,6,15
40478285,6,15
4322351,6,15
6170803,6,15
6475116,6,15
20699876,6,14
25116990,6,14
30748424,6,14
87893010,6,13
11816662,6,12
24073722,6,12
24807590,6,12
24848959,6,12
35410180,6,12
6530780,6,12
94727656,6,12
97634870,6,12
10843778,6,11
14202610,6,11
15697600,6,11
92049220,6,11
1446018,6,10
15555997,6,10
2009214,6,10
3227010,6,10
1554,6,9
5417729,6,9
2970702,6,8
3643696,6,8
93715325,6,8
12734358,6,7
3162175,6,7
35579130,6,7
89737207,6,7
911960,6,7
13111197,6,6
21689848,6,6
44364829,6,6
87245266,6,6
91263928,6,6
1358029,5,470
10438608,5,420
30895855,5,388
90485631,5,290
66808413,5,174
23981178,5,168
16928970,5,138
4974676,5,130
91526589,5,98
11098419,5,94
91772261,5,94
12687348,5,87
22650744,5,84
90323722,5,81
14393690,5,79
50043628,5,74
6874887,5,74
34744109,5,68
20608964,5,57
27841851,5,52
37991420,5,52
38505110,5,47
14963489,5,45
22827299,5,45
12432399,5,43
12615977,5,43
29003828,5,42
43830807,5,42
9149064,5,41
3440404,5,37
1752210,5,36
33126631,5,36
23628136,5,35
280392,5,35
2247582,5,34
3978759,5,34
8643074,5,34
12140546,5,32
19603803,5,32
79708711,5,32
88432003,5,32
31334471,5,31
30614348,5,30
4452193,5,30
59178755,5,30
38318260,5,29
9020891,5,29
85919705,5,27
11434480,5,26
13689393,5,26
1714743,5,26
1804137,5,26
4464996,5,25
93941098,5,25
80185132,5,24
89280578,5,24
10248804,5,23
16796466,5,23
16560607,5,22
3364330,5,22
7125035,5,22
76949841,5,22
12357682,5,21
88487965,5,21
3829158,5,20
52813309,5,20
26322776,5,19
36169346,5,19
6397529,5,19
76601,5,19
1360098,5,18
2067942,5,18
21257324,5,18
27329792,5,18
39030792,5,18
6020232,5,18
19222572,5,17
2783950,5,17
29704671,5,17
4208930,5,17
8180994,5,17
5383161,5,16
71281395,5,16
9157212,5,16
